resource_id,startTime,workingTimeInMinutes,overTimeInMinutes,plannedNonWorkingTimeInMinutes,bookedTimeInMinutes,endTime
6806862a-3788-441c-9b00-bd52013711b3,2020-10-01 00:00:00,480,0,0,0,2020-10-02 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-02 00:00:00,480,0,0,0,2020-10-03 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-03 00:00:00,480,0,0,0,2020-10-04 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-04 00:00:00,480,0,0,0,2020-10-05 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-05 00:00:00,0,0,0,0,2020-10-06 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-06 00:00:00,0,0,0,0,2020-10-07 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-07 00:00:00,480,0,0,0,2020-10-08 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-08 00:00:00,480,0,0,0,2020-10-09 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-09 00:00:00,480,0,0,0,2020-10-10 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-10 00:00:00,480,0,0,0,2020-10-11 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-11 00:00:00,480,0,0,0,2020-10-12 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-12 00:00:00,0,0,0,0,2020-10-13 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-13 00:00:00,0,0,0,0,2020-10-14 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-14 00:00:00,480,0,0,0,2020-10-15 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-15 00:00:00,480,0,0,0,2020-10-16 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-16 00:00:00,480,0,0,0,2020-10-17 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-17 00:00:00,480,0,0,0,2020-10-18 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-18 00:00:00,480,0,0,0,2020-10-19 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-19 00:00:00,0,0,0,0,2020-10-20 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-20 00:00:00,0,0,0,0,2020-10-21 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-21 00:00:00,480,0,0,0,2020-10-22 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-22 00:00:00,480,0,0,0,2020-10-23 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-23 00:00:00,480,0,0,0,2020-10-24 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-24 00:00:00,480,0,0,0,2020-10-25 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-25 00:00:00,480,0,0,0,2020-10-26 00:00:00
6806862a-3788-441c-9b00-bd52013711b3,2020-10-26 00:00:00,0,0,0,0,2020-10-27 00:00:00
